SOUND DOME CONSTRUCTION PROFILE
Source: 4_30_2026.obj
Target frequency: ~93 Hz (G♭2)
Slice interval: 5cm

Overall dimensions:
  Width (X):  0.639m (2.1 ft)
  Height (Y): 0.749m (2.5 ft)
  Depth (Z):  0.585m (1.9 ft)

Ring table (build from bottom up):
  Height (m)  Width-X (m)  Depth-Z (m)  Max R (m)   Points
------------------------------------------------------------
      -0.493        0.096        0.558      0.283      589
      -0.443        0.113        0.558      0.284      487
      -0.393        0.136        0.553      0.284      719
      -0.343        0.533        0.541      0.379      993
      -0.293        0.639        0.559      0.402     6301
      -0.243        0.635        0.556      0.398     1899
      -0.193        0.617        0.555      0.391     2275
      -0.143        0.605        0.547      0.388     2362
      -0.093        0.604        0.535      0.389     2335
      -0.043        0.603        0.501      0.392     2033
       0.007        0.595        0.489      0.385     1780
       0.057        0.533        0.481      0.359     2312
       0.107        0.522        0.481      0.355     2202
       0.157        0.049        0.471      0.237      423
       0.207        0.045        0.449      0.226      466
