SOUND DOME CONSTRUCTION PROFILE
Source: 5_2_2026.obj
Target frequency: ~93 Hz (G♭2)
Slice interval: 10cm

Overall dimensions:
  Width (X):  3.076m (10.1 ft)
  Height (Y): 4.030m (13.2 ft)
  Depth (Z):  4.672m (15.3 ft)

Ring table (build from bottom up):
  Height (m)  Width-X (m)  Depth-Z (m)  Max R (m)   Points
------------------------------------------------------------
      -1.036        2.437        3.821      2.261     1679
      -0.936        2.087        4.672      2.532      867
      -0.836        0.154        4.671      2.336       90
      -0.736        0.069        4.667      2.334       69
      -0.636        0.064        4.653      2.326       91
      -0.536        0.060        4.615      2.307      100
      -0.436        0.603        4.587      2.311      183
      -0.336        0.656        4.583      2.313      220
      -0.236        0.655        4.547      2.295      138
      -0.136        0.659        4.532      2.287      124
      -0.036        0.653        4.520      2.281      135
       0.064        0.653        4.503      2.273      322
       0.164        0.535        4.497      2.261      268
       0.264        0.073        4.493      2.247      117
       0.364        0.072        4.488      2.244      121
       0.464        0.070        4.481      2.241       76
       0.564        0.068        4.471      2.236       83
       0.664        0.065        4.449      2.225       72
       0.764        0.062        4.440      2.220       67
       0.864        0.063        4.406      2.203      107
       0.964        0.072        4.340      2.170      108
       1.064        0.074        4.285      2.143      109
       1.164        0.064        4.238      2.119       97
       1.264        0.073        4.207      2.104      111
       1.364        0.073        4.193      2.096      107
       1.464        0.058        4.178      2.089      103
       1.564        0.048        4.187      2.094       98
       1.664        0.041        4.187      2.093       97
       1.764        0.040        4.187      2.093       85
       1.864        0.047        4.187      2.093       73
       1.964        0.045        4.187      2.093       75
       2.064        0.048        4.186      2.093       83
       2.164        0.045        4.184      2.092       79
       2.264        0.045        4.182      2.091       89
       2.364        0.056        4.182      2.091       93
       2.464        0.058        4.186      2.093       76
       2.564        0.058        4.201      2.101       79
       2.664        0.065        4.206      2.103       80
       2.764        0.083        4.212      2.107       87
       2.864        0.085        4.199      2.100       98
       2.964        0.090        4.178      2.090      107
